id,functional_area,det,date,status,title
381,Personnel,PACAF,1/16/2023,Active,eget semper rutrum nulla nunc
382,Information,AFSPC,4/12/2018,Active,sed tristique in tempus
383,Physical,Det 1,8/23/2021,Active,felis fusce posuere felis
384,Personnel,Det 5,2/13/2019,Active,convallis nulla neque libero convallis eget
385,Physical,AFMC,7/21/2018,Active,blandit lacinia erat vestibulum sed magna
386,Cyber,ACC,12/3/2021,Active,ultrices posuere cubilia curae donec
387,Physical,AFSPC,3/12/2019,Closed,elit ac nulla sed vel enim
388,Cyber,USAFE,1/16/2019,Active,proin risus praesent lectus vestibulum
389,Cyber,AFMC,10/25/2020,Closed,phasellus in felis donec
390,Personnel,AFSOC,12/12/2022,Active,erat nulla tempus vivamus in felis
391,Physical,AFSPC,4/4/2018,Closed,quis turpis sed ante vivamus tortor
392,Cyber,Det 9,9/6/2019,Active,lobortis convallis tortor risus dapibus
393,Personnel,Det 7,11/3/2019,Closed,ut nunc vestibulum ante
394,Physical,Det 6,3/23/2019,Active,blandit mi in porttitor pede
395,Personnel,Det 4,6/23/2021,Active,donec vitae nisi nam
396,Physical,PACAF,5/29/2019,Active,vestibulum ante ipsum primis in
397,Personnel,Det 1,2/8/2020,Active,aliquet ultrices erat tortor sollicitudin
398,Information,Det 11,9/10/2018,Closed,in tempus sit amet sem
399,Personnel,Det 2,8/15/2022,Active,amet nulla quisque arcu
400,Personnel,AFMC,5/10/2022,Active,accumsan odio curabitur convallis
401,Cyber,AFMC,6/10/2020,Closed,eu magna vulputate luctus cum sociis
402,Physical,AFSOC,1/25/2019,Active,a suscipit nulla elit
403,Physical,Det 4,11/22/2022,Closed,quis turpis eget elit
404,Physical,ACC,7/19/2018,Active,sit amet nulla quisque arcu libero
405,Physical,PACAF,12/31/2020,Closed,curae duis faucibus accumsan odio
406,Personnel,Det 11,2/24/2018,Closed,consectetuer eget rutrum at lorem integer
407,Personnel,AFMC,10/12/2019,Closed,justo etiam pretium iaculis justo in
408,Personnel,USAFE,8/31/2018,Active,luctus nec molestie sed justo
409,Personnel,Det 7,3/16/2022,Closed,vestibulum eget vulputate ut ultrices vel
410,Cyber,ACC,2/3/2018,Closed,sed augue aliquam erat volutpat in
411,Physical,Det 2,1/25/2018,Active,mattis nibh ligula nec sem
412,Information,ACC,12/1/2018,Active,nulla eget eros elementum pellentesque quisque
413,Cyber,Det 3,6/16/2020,Closed,aenean lectus pellentesque eget
414,Physical,AFSPC,1/16/2018,Active,nunc commodo placerat praesent blandit nam
415,Information,Det 1,7/6/2018,Closed,tempus sit amet sem fusce
416,Physical,ACC,3/29/2018,Active,convallis morbi odio odio
417,Information,AFGSC,7/29/2022,Active,hac habitasse platea dictumst maecenas
418,Cyber,AFMC,4/29/2021,Active,ipsum primis in faucibus
419,Information,AFSPC,1/15/2022,Closed,magnis dis parturient montes
420,Cyber,AFSPC,5/24/2021,Closed,maecenas leo odio condimentum id luctus
421,Information,ACC,8/29/2021,Active,in hac habitasse platea dictumst etiam
422,Information,AMC,2/5/2023,Active,in purus eu magna
423,Physical,Det 6,9/28/2019,Active,morbi quis tortor id
424,Physical,Det 3,8/8/2021,Closed,primis in faucibus orci luctus
425,Personnel,USAFE,6/28/2019,Active,at velit vivamus vel nulla eget
426,Information,AFSPC,6/1/2022,Active,congue risus semper porta
427,Personnel,USAFE,2/16/2023,Closed,aliquam lacus morbi quis
428,Personnel,PACAF,11/17/2022,Closed,nulla integer pede justo lacinia eget
429,Personnel,AFMC,6/20/2022,Active,etiam faucibus cursus urna ut tellus
430,Personnel,AFMC,12/18/2021,Closed,ipsum primis in faucibus orci luctus
431,Information,AFMC,11/15/2018,Active,mauris lacinia sapien quis
432,Cyber,AMC,7/9/2022,Closed,in lectus pellentesque at nulla
433,Physical,AFGSC,7/4/2018,Closed,in porttitor pede justo eu
434,Personnel,ACC,10/3/2018,Active,pharetra magna vestibulum aliquet ultrices
435,Physical,AFGSC,4/22/2018,Active,luctus et ultrices posuere
436,Physical,Det 7,1/2/2018,Closed,montes nascetur ridiculus mus
437,Cyber,Det 3,2/11/2020,Active,convallis eget eleifend luctus ultricies
438,Personnel,ACC,2/23/2018,Active,enim leo rhoncus sed vestibulum sit
439,Information,Det 7,3/13/2022,Closed,morbi porttitor lorem id ligula suspendisse
440,Physical,Det 11,10/27/2020,Closed,libero quis orci nullam molestie
441,Cyber,Det 6,6/4/2019,Active,vel dapibus at diam nam tristique
442,Cyber,AFSPC,3/6/2019,Active,hac habitasse platea dictumst etiam
443,Personnel,Det 9,9/14/2019,Active,sodales scelerisque mauris sit amet
444,Personnel,ACC,1/4/2023,Active,pede morbi porttitor lorem
445,Personnel,Det 9,10/10/2022,Active,commodo placerat praesent blandit nam
446,Physical,Det 4,5/16/2019,Closed,nam tristique tortor eu
447,Information,Det 9,8/30/2018,Closed,fusce lacus purus aliquet at
448,Information,AFSOC,12/2/2018,Closed,quis turpis eget elit sodales
449,Information,Det 9,10/3/2022,Active,in est risus auctor sed
450,Personnel,AFMC,7/7/2020,Active,sed lacus morbi sem mauris laoreet
451,Personnel,PACAF,4/9/2019,Active,ultrices posuere cubilia curae donec
452,Personnel,Det 6,1/28/2022,Closed,eu felis fusce posuere felis sed
453,Personnel,USAFE,8/11/2020,Active,nulla pede ullamcorper augue a suscipit
454,Cyber,Det 8,12/14/2020,Active,sapien varius ut blandit non interdum
455,Cyber,AFGSC,1/20/2020,Closed,quis augue luctus tincidunt nulla mollis
456,Information,AFSPC,1/13/2018,Closed,cursus vestibulum proin eu
457,Information,ACC,5/28/2019,Active,sit amet consectetuer adipiscing
458,Physical,USAFE,2/12/2023,Closed,cras mi pede malesuada in
459,Information,Det 5,7/7/2019,Closed,curabitur convallis duis consequat
460,Personnel,AFSPC,12/22/2019,Active,amet consectetuer adipiscing elit
461,Personnel,Det 2,8/22/2021,Closed,sit amet sem fusce
462,Information,PACAF,2/3/2022,Closed,sapien dignissim vestibulum vestibulum ante ipsum
463,Physical,Det 11,9/21/2020,Active,luctus et ultrices posuere cubilia
464,Physical,AFSOC,8/30/2018,Closed,accumsan felis ut at dolor
465,Physical,Det 5,4/15/2018,Closed,lobortis est phasellus sit amet
466,Cyber,AFSOC,8/9/2020,Closed,metus arcu adipiscing molestie hendrerit
467,Cyber,AMC,6/6/2021,Active,id ornare imperdiet sapien urna pretium
468,Physical,AMC,1/27/2023,Closed,pretium quis lectus suspendisse potenti
469,Cyber,Det 3,6/9/2018,Active,eu orci mauris lacinia
470,Physical,Det 5,7/19/2019,Closed,lacinia eget tincidunt eget tempus vel
471,Information,Det 2,8/26/2022,Closed,primis in faucibus orci luctus
472,Information,AFSOC,5/29/2019,Active,luctus rutrum nulla tellus in
473,Cyber,Det 4,9/20/2022,Closed,in lectus pellentesque at
474,Cyber,AFGSC,6/3/2019,Closed,nulla elit ac nulla sed
475,Physical,PACAF,5/18/2018,Active,morbi a ipsum integer a nibh
476,Information,AFMC,9/13/2021,Active,hendrerit at vulputate vitae nisl
477,Information,AFGSC,10/2/2022,Active,interdum in ante vestibulum ante
478,Cyber,Det 7,6/13/2021,Closed,nisi at nibh in
479,Physical,AFSOC,8/27/2022,Active,at ipsum ac tellus semper
480,Personnel,USAFE,5/13/2022,Closed,molestie hendrerit at vulputate vitae
481,Cyber,Det 7,6/8/2018,Closed,potenti cras in purus eu magna
482,Information,AFMC,8/10/2019,Closed,praesent blandit lacinia erat
483,Cyber,USAFE,12/13/2021,Closed,arcu libero rutrum ac lobortis vel
484,Personnel,Det 6,1/9/2021,Closed,potenti cras in purus eu magna
485,Information,Det 6,3/30/2019,Active,semper porta volutpat quam pede lobortis
486,Personnel,AMC,5/17/2020,Closed,bibendum imperdiet nullam orci pede venenatis
487,Information,PACAF,2/14/2019,Active,tristique tortor eu pede
488,Personnel,Det 8,5/31/2018,Active,tellus in sagittis dui vel
489,Cyber,Det 1,10/11/2019,Closed,volutpat quam pede lobortis ligula sit
490,Physical,AFMC,12/22/2021,Active,amet diam in magna bibendum
491,Information,ACC,6/1/2022,Active,felis ut at dolor quis
492,Physical,Det 2,2/22/2018,Closed,morbi sem mauris laoreet ut rhoncus
493,Information,Det 2,11/12/2021,Closed,ut at dolor quis odio consequat
494,Physical,USAFE,11/15/2018,Closed,massa tempor convallis nulla
495,Information,Det 6,4/8/2021,Closed,ac enim in tempor turpis nec
496,Information,AFMC,9/1/2018,Closed,nulla ut erat id
497,Information,PACAF,11/11/2022,Active,cum sociis natoque penatibus et magnis
498,Physical,Det 1,2/15/2020,Closed,ullamcorper augue a suscipit nulla
499,Cyber,PACAF,2/19/2019,Closed,pulvinar lobortis est phasellus sit amet
500,Information,Det 8,11/11/2020,Active,quam pharetra magna ac
501,Cyber,Det 4,8/30/2021,Closed,accumsan odio curabitur convallis duis
502,Personnel,AFSPC,6/5/2022,Active,enim blandit mi in
503,Cyber,Det 3,11/2/2020,Active,orci nullam molestie nibh
504,Personnel,AMC,1/22/2018,Active,quisque id justo sit
505,Cyber,AFSOC,1/23/2019,Active,at velit vivamus vel nulla
506,Information,Det 2,3/1/2021,Closed,sagittis sapien cum sociis natoque penatibus
507,Information,Det 9,3/23/2020,Active,metus aenean fermentum donec
508,Cyber,AFGSC,9/5/2019,Closed,ipsum primis in faucibus orci
509,Cyber,AMC,5/10/2018,Closed,enim lorem ipsum dolor sit amet
510,Physical,AMC,9/28/2018,Active,rutrum nulla nunc purus
511,Information,AFGSC,11/3/2019,Closed,vivamus tortor duis mattis egestas metus
512,Physical,Det 7,9/5/2022,Closed,vulputate nonummy maecenas tincidunt
513,Cyber,Det 6,2/15/2022,Closed,amet sapien dignissim vestibulum vestibulum
514,Information,AFSOC,9/19/2022,Closed,magna at nunc commodo
515,Personnel,AFMC,11/25/2021,Active,odio cras mi pede malesuada in
516,Personnel,Det 3,3/10/2022,Active,odio in hac habitasse
517,Personnel,Det 5,7/21/2021,Active,massa id lobortis convallis tortor
518,Physical,Det 1,3/23/2020,Closed,rutrum rutrum neque aenean auctor gravida
519,Physical,Det 11,1/20/2023,Active,erat id mauris vulputate
520,Personnel,Det 5,3/7/2021,Active,adipiscing lorem vitae mattis nibh
521,Personnel,Det 11,9/23/2019,Closed,tempus vel pede morbi porttitor lorem
522,Personnel,Det 11,9/3/2020,Active,in tempor turpis nec euismod
523,Physical,PACAF,7/19/2022,Closed,facilisi cras non velit nec nisi
524,Personnel,AMC,3/22/2020,Active,ac nibh fusce lacus
525,Cyber,AFGSC,10/10/2021,Closed,sed justo pellentesque viverra
526,Information,Det 1,3/13/2021,Closed,vestibulum velit id pretium iaculis
527,Cyber,AMC,12/11/2022,Closed,in faucibus orci luctus et ultrices
528,Personnel,Det 1,5/21/2019,Active,odio odio elementum eu
529,Physical,USAFE,2/1/2023,Active,praesent blandit nam nulla integer pede
530,Physical,AMC,2/25/2023,Active,magnis dis parturient montes
531,Personnel,AMC,4/2/2022,Closed,tortor duis mattis egestas
532,Personnel,Det 2,5/26/2022,Closed,ut odio cras mi pede
533,Cyber,ACC,11/17/2019,Closed,primis in faucibus orci luctus et
534,Information,AFGSC,12/19/2022,Closed,pellentesque ultrices phasellus id sapien in
535,Cyber,Det 9,1/13/2021,Closed,nulla justo aliquam quis turpis
536,Cyber,ACC,3/22/2019,Closed,in consequat ut nulla sed accumsan
537,Information,AFMC,5/10/2022,Active,metus sapien ut nunc vestibulum ante
538,Physical,AFMC,8/7/2018,Active,justo sollicitudin ut suscipit a
539,Physical,Det 3,2/19/2023,Closed,curabitur gravida nisi at
540,Physical,AFGSC,1/18/2022,Active,in purus eu magna
541,Information,Det 4,8/12/2020,Active,maecenas ut massa quis
542,Information,AFSOC,12/21/2018,Closed,viverra dapibus nulla suscipit ligula in
543,Information,Det 6,2/20/2018,Active,nam dui proin leo odio
544,Personnel,PACAF,10/15/2018,Active,velit eu est congue elementum in
545,Physical,Det 2,6/1/2021,Closed,habitasse platea dictumst etiam
546,Cyber,Det 3,9/17/2022,Closed,et tempus semper est quam
547,Information,Det 2,5/11/2019,Closed,platea dictumst etiam faucibus cursus urna
548,Information,AMC,1/26/2022,Active,in purus eu magna
549,Personnel,Det 11,1/22/2021,Closed,maecenas tincidunt lacus at velit vivamus
550,Information,Det 9,3/5/2019,Active,interdum mauris non ligula pellentesque
551,Cyber,PACAF,12/10/2019,Closed,sollicitudin ut suscipit a feugiat
552,Information,Det 11,1/9/2018,Closed,sit amet consectetuer adipiscing
553,Physical,Det 7,2/25/2020,Closed,justo morbi ut odio cras
554,Physical,AFMC,10/9/2019,Closed,duis ac nibh fusce lacus purus
555,Information,AFMC,6/28/2022,Closed,ac tellus semper interdum mauris ullamcorper
556,Information,Det 7,4/2/2020,Closed,proin leo odio porttitor id
557,Cyber,AFMC,4/8/2019,Closed,morbi non lectus aliquam sit amet
558,Information,Det 9,3/28/2020,Active,est phasellus sit amet erat nulla
559,Information,AFGSC,1/19/2023,Closed,dui vel nisl duis ac
560,Personnel,Det 11,8/9/2019,Closed,vestibulum ac est lacinia
561,Physical,Det 8,11/6/2018,Closed,eu est congue elementum
562,Information,USAFE,6/17/2022,Closed,lectus pellentesque eget nunc donec quis
563,Information,Det 5,9/9/2019,Closed,in congue etiam justo etiam
564,Cyber,AFSOC,9/8/2019,Closed,ultrices posuere cubilia curae donec pharetra
565,Information,PACAF,12/25/2022,Closed,massa donec dapibus duis
566,Personnel,Det 1,1/29/2021,Closed,ultrices posuere cubilia curae donec pharetra
567,Information,Det 1,5/13/2021,Active,erat nulla tempus vivamus
568,Personnel,AFMC,8/10/2022,Active,ridiculus mus etiam vel augue
569,Physical,AFSPC,6/18/2019,Closed,lobortis vel dapibus at diam nam
570,Physical,AFSPC,12/24/2022,Active,aliquet pulvinar sed nisl nunc
571,Physical,Det 3,2/9/2022,Closed,ut at dolor quis odio consequat
572,Personnel,AFSOC,9/26/2018,Closed,ac tellus semper interdum mauris ullamcorper
573,Information,Det 6,1/10/2022,Active,ultrices posuere cubilia curae nulla dapibus
574,Physical,AFGSC,6/22/2022,Closed,nisi eu orci mauris lacinia sapien
575,Cyber,AFSOC,5/25/2018,Closed,lacinia aenean sit amet justo
576,Cyber,Det 2,7/15/2018,Active,nunc commodo placerat praesent
577,Physical,Det 11,4/11/2018,Active,cum sociis natoque penatibus et
578,Personnel,Det 11,12/14/2019,Closed,adipiscing molestie hendrerit at vulputate vitae
579,Cyber,ACC,8/29/2020,Closed,libero nullam sit amet turpis elementum
580,Information,AFMC,5/25/2022,Closed,massa quis augue luctus
581,Personnel,Det 8,9/12/2022,Closed,vestibulum quam sapien varius ut
582,Information,Det 6,5/18/2020,Active,integer tincidunt ante vel ipsum praesent
583,Personnel,AFGSC,5/19/2022,Active,maecenas rhoncus aliquam lacus morbi
584,Cyber,AFMC,9/13/2019,Closed,arcu sed augue aliquam erat
585,Personnel,PACAF,7/4/2020,Closed,dictumst aliquam augue quam sollicitudin vitae
586,Cyber,Det 5,6/26/2021,Active,pellentesque eget nunc donec quis
587,Physical,Det 9,6/24/2020,Active,ac tellus semper interdum mauris
588,Information,USAFE,10/23/2022,Closed,maecenas rhoncus aliquam lacus morbi
589,Information,Det 11,4/21/2018,Closed,aenean fermentum donec ut mauris
590,Cyber,Det 3,2/6/2023,Closed,eget rutrum at lorem integer tincidunt
591,Information,AFSOC,4/11/2021,Closed,vitae consectetuer eget rutrum at
592,Personnel,ACC,3/27/2022,Closed,venenatis lacinia aenean sit amet justo
593,Cyber,AFSOC,3/25/2021,Closed,maecenas tristique est et tempus semper
594,Physical,AFSOC,6/11/2021,Closed,mi sit amet lobortis sapien
595,Cyber,AMC,3/31/2018,Active,porttitor lacus at turpis
596,Personnel,Det 5,4/23/2020,Closed,condimentum neque sapien placerat
597,Cyber,Det 1,12/13/2019,Closed,morbi vestibulum velit id pretium iaculis
598,Cyber,Det 8,11/1/2020,Closed,cursus urna ut tellus
599,Cyber,Det 3,4/2/2020,Closed,volutpat convallis morbi odio odio
600,Cyber,Det 7,10/28/2018,Closed,diam in magna bibendum imperdiet nullam
601,Physical,Det 11,1/2/2020,Active,morbi quis tortor id nulla ultrices
602,Physical,Det 6,7/30/2021,Closed,pede posuere nonummy integer
603,Cyber,Det 11,9/14/2018,Active,ultrices erat tortor sollicitudin mi
604,Physical,PACAF,6/3/2022,Active,ultrices erat tortor sollicitudin mi
605,Information,Det 3,3/12/2020,Active,cubilia curae duis faucibus accumsan
606,Information,AFMC,10/2/2018,Active,nibh quisque id justo sit amet
607,Information,Det 6,2/15/2018,Closed,ac nibh fusce lacus
608,Personnel,ACC,5/26/2019,Active,dis parturient montes nascetur
609,Personnel,Det 2,4/29/2019,Active,ut odio cras mi pede malesuada
610,Physical,Det 3,1/17/2021,Active,mi pede malesuada in
611,Cyber,ACC,8/15/2021,Active,praesent id massa id nisl
612,Personnel,PACAF,2/1/2020,Closed,dignissim vestibulum vestibulum ante
613,Physical,AFSOC,4/7/2021,Active,ut massa quis augue luctus
614,Physical,Det 5,8/6/2022,Active,metus arcu adipiscing molestie hendrerit
615,Cyber,AFSOC,6/29/2019,Active,tempor convallis nulla neque libero
616,Personnel,Det 11,2/16/2023,Active,iaculis diam erat fermentum
617,Cyber,Det 11,11/8/2022,Active,lorem ipsum dolor sit
618,Personnel,Det 4,5/6/2021,Active,nulla neque libero convallis eget eleifend
619,Physical,PACAF,4/3/2022,Closed,nec sem duis aliquam convallis
620,Personnel,AFGSC,11/2/2022,Closed,donec posuere metus vitae ipsum
621,Personnel,Det 2,5/31/2021,Closed,risus auctor sed tristique in tempus
622,Physical,AFGSC,11/13/2019,Closed,vestibulum sed magna at
623,Physical,Det 9,11/14/2021,Active,nec dui luctus rutrum nulla tellus
624,Information,Det 5,2/15/2020,Closed,montes nascetur ridiculus mus vivamus vestibulum
625,Personnel,USAFE,12/7/2022,Closed,semper rutrum nulla nunc
626,Personnel,Det 4,10/30/2018,Closed,libero nullam sit amet turpis elementum
627,Personnel,ACC,11/25/2022,Active,tellus semper interdum mauris ullamcorper
628,Physical,ACC,11/24/2020,Closed,nulla sed vel enim sit
629,Information,Det 9,5/29/2018,Closed,augue vestibulum rutrum rutrum neque aenean
630,Information,AFMC,3/18/2019,Active,pede ac diam cras pellentesque volutpat
631,Physical,Det 4,7/28/2022,Active,vestibulum proin eu mi nulla ac
632,Cyber,AFSPC,2/28/2023,Closed,congue etiam justo etiam pretium
633,Personnel,Det 1,6/27/2021,Active,nulla ultrices aliquet maecenas leo
634,Cyber,Det 2,6/30/2019,Closed,massa quis augue luctus tincidunt nulla
635,Personnel,ACC,6/2/2020,Closed,parturient montes nascetur ridiculus mus
636,Personnel,Det 2,11/27/2022,Active,at turpis donec posuere metus vitae
637,Cyber,Det 7,2/7/2022,Closed,nunc rhoncus dui vel
638,Personnel,AFGSC,10/28/2022,Active,in imperdiet et commodo vulputate justo
639,Information,Det 6,7/3/2020,Active,eget tempus vel pede
640,Personnel,AFSPC,10/14/2020,Closed,est lacinia nisi venenatis
641,Information,Det 6,4/15/2020,Active,sapien cum sociis natoque penatibus et
642,Personnel,PACAF,1/24/2021,Active,ligula vehicula consequat morbi a ipsum
643,Personnel,ACC,3/18/2020,Closed,non sodales sed tincidunt eu felis
644,Information,Det 6,7/15/2020,Closed,semper porta volutpat quam
645,Information,Det 5,1/26/2019,Closed,suscipit nulla elit ac nulla sed
646,Personnel,Det 4,2/7/2020,Active,volutpat eleifend donec ut dolor
647,Personnel,USAFE,5/29/2022,Closed,viverra eget congue eget
648,Cyber,Det 2,9/18/2018,Closed,maecenas tincidunt lacus at velit
649,Cyber,Det 4,7/14/2022,Closed,sed justo pellentesque viverra
650,Physical,AMC,11/16/2018,Active,posuere cubilia curae mauris
651,Information,ACC,5/19/2018,Active,ultrices aliquet maecenas leo odio condimentum
652,Information,AFGSC,11/26/2022,Closed,fusce posuere felis sed lacus morbi
653,Personnel,Det 9,10/19/2022,Closed,duis consequat dui nec nisi
654,Cyber,Det 2,8/30/2019,Closed,etiam faucibus cursus urna ut
655,Physical,Det 7,1/13/2019,Active,ligula vehicula consequat morbi a
656,Personnel,Det 5,11/27/2021,Closed,sapien a libero nam dui proin
657,Information,Det 6,4/11/2018,Closed,amet nulla quisque arcu libero rutrum
658,Information,Det 7,9/30/2021,Closed,et eros vestibulum ac est lacinia
659,Personnel,Det 6,5/21/2018,Active,varius integer ac leo pellentesque
660,Cyber,Det 5,4/14/2021,Active,ipsum primis in faucibus
661,Information,Det 11,11/12/2019,Closed,sit amet turpis elementum ligula vehicula
662,Personnel,Det 5,10/3/2020,Closed,est congue elementum in
663,Physical,Det 2,3/18/2019,Closed,lacus curabitur at ipsum ac tellus
664,Physical,ACC,7/3/2019,Active,pretium iaculis justo in hac habitasse
665,Cyber,Det 9,11/10/2022,Closed,in felis eu sapien cursus
666,Cyber,Det 4,1/19/2018,Active,luctus tincidunt nulla mollis
667,Personnel,AFGSC,6/7/2022,Active,imperdiet nullam orci pede
668,Personnel,Det 1,12/21/2019,Active,a ipsum integer a nibh in
669,Physical,AFMC,7/9/2022,Active,potenti cras in purus eu magna
670,Physical,ACC,5/25/2018,Active,scelerisque mauris sit amet eros suspendisse
671,Cyber,PACAF,12/17/2019,Closed,velit id pretium iaculis
672,Physical,AFSOC,8/12/2019,Active,praesent blandit lacinia erat vestibulum
673,Physical,USAFE,9/23/2019,Active,dolor vel est donec
674,Cyber,Det 5,10/3/2018,Closed,sit amet consectetuer adipiscing
675,Cyber,AFSPC,3/21/2020,Closed,sagittis nam congue risus
676,Personnel,Det 5,9/2/2021,Closed,eleifend quam a odio
677,Physical,Det 1,4/30/2019,Closed,neque libero convallis eget
678,Physical,AFMC,10/26/2019,Active,nunc nisl duis bibendum felis sed
679,Information,Det 5,1/19/2021,Closed,ac tellus semper interdum mauris
680,Physical,Det 11,4/4/2020,Closed,pede lobortis ligula sit amet
681,Information,Det 4,1/7/2019,Closed,scelerisque mauris sit amet
682,Cyber,Det 2,6/19/2021,Closed,morbi non lectus aliquam sit
683,Information,Det 6,2/12/2020,Active,non mattis pulvinar nulla
684,Information,AFGSC,10/18/2020,Closed,integer tincidunt ante vel ipsum
685,Information,AFGSC,1/15/2018,Closed,tincidunt eu felis fusce posuere
686,Cyber,Det 4,11/26/2022,Closed,cras pellentesque volutpat dui maecenas
687,Information,Det 8,9/22/2018,Closed,consequat dui nec nisi volutpat
688,Personnel,Det 8,9/6/2019,Closed,metus arcu adipiscing molestie
689,Personnel,PACAF,9/5/2019,Closed,aenean fermentum donec ut mauris
690,Cyber,AFMC,9/8/2022,Active,cras pellentesque volutpat dui maecenas tristique
691,Cyber,Det 9,10/6/2020,Active,libero nam dui proin leo odio
692,Personnel,Det 3,4/26/2021,Closed,amet justo morbi ut odio cras
693,Physical,Det 7,8/7/2019,Closed,vestibulum eget vulputate ut
694,Personnel,Det 6,12/3/2020,Active,risus auctor sed tristique in tempus
695,Personnel,AFSOC,5/25/2019,Active,condimentum id luctus nec molestie
696,Information,ACC,10/28/2019,Closed,metus sapien ut nunc
697,Personnel,Det 3,1/21/2023,Closed,ipsum primis in faucibus orci
698,Cyber,PACAF,8/2/2018,Closed,aenean lectus pellentesque eget nunc
699,Cyber,AFSPC,3/13/2018,Active,in quam fringilla rhoncus mauris enim
700,Cyber,AFGSC,4/4/2019,Active,sed ante vivamus tortor duis mattis
701,Cyber,Det 8,2/19/2021,Active,diam nam tristique tortor eu pede
702,Physical,Det 3,3/30/2019,Active,purus phasellus in felis donec
703,Information,AFSOC,1/21/2022,Closed,vestibulum sed magna at
704,Information,ACC,11/11/2022,Active,posuere cubilia curae donec pharetra magna
705,Physical,Det 7,2/8/2023,Active,accumsan tortor quis turpis sed
706,Information,AFSOC,1/19/2023,Active,luctus tincidunt nulla mollis
707,Cyber,PACAF,7/15/2021,Closed,lectus aliquam sit amet diam in
708,Personnel,AFSOC,7/31/2020,Closed,vel sem sed sagittis nam congue
709,Cyber,PACAF,10/14/2020,Active,vel accumsan tellus nisi
710,Information,Det 6,2/25/2020,Closed,sit amet consectetuer adipiscing
711,Information,Det 9,8/3/2019,Closed,penatibus et magnis dis parturient montes
712,Information,AFSOC,6/14/2020,Active,proin at turpis a pede
713,Cyber,ACC,5/24/2019,Closed,nullam sit amet turpis elementum
714,Information,Det 2,11/6/2020,Closed,pede posuere nonummy integer non velit
715,Cyber,Det 7,10/14/2021,Active,nisl duis ac nibh fusce lacus
716,Personnel,USAFE,8/14/2021,Closed,viverra pede ac diam cras pellentesque
717,Information,Det 8,10/8/2019,Active,donec dapibus duis at velit eu
718,Physical,USAFE,8/1/2020,Closed,sollicitudin vitae consectetuer eget rutrum
719,Personnel,Det 5,3/18/2021,Closed,in lacus curabitur at
720,Personnel,AFSPC,11/29/2020,Closed,aliquam quis turpis eget elit
721,Information,AMC,12/5/2022,Active,vulputate justo in blandit
722,Information,Det 9,2/19/2021,Closed,in porttitor pede justo eu massa
723,Information,AFSPC,8/19/2022,Closed,ante nulla justo aliquam quis
724,Personnel,PACAF,3/22/2019,Closed,convallis eget eleifend luctus ultricies eu
725,Personnel,Det 1,6/9/2019,Closed,molestie nibh in lectus
726,Cyber,Det 4,3/8/2021,Closed,nibh fusce lacus purus aliquet
727,Physical,Det 3,11/17/2020,Active,donec diam neque vestibulum eget
728,Physical,AMC,1/4/2023,Closed,consequat lectus in est risus
729,Cyber,ACC,3/3/2021,Active,lectus suspendisse potenti in
730,Information,AMC,8/29/2020,Closed,pede morbi porttitor lorem id
731,Physical,AMC,3/8/2019,Active,nunc purus phasellus in felis
732,Cyber,USAFE,9/7/2021,Closed,justo sollicitudin ut suscipit a
733,Information,AFSOC,2/3/2022,Closed,nisl duis ac nibh fusce lacus
734,Information,AFSOC,12/15/2021,Closed,sit amet nulla quisque arcu libero
735,Information,Det 1,1/15/2021,Closed,ipsum primis in faucibus orci luctus
736,Personnel,USAFE,6/23/2022,Active,consectetuer adipiscing elit proin interdum
737,Personnel,Det 5,3/7/2020,Closed,vulputate vitae nisl aenean
738,Physical,Det 5,8/23/2021,Closed,potenti nullam porttitor lacus
739,Personnel,Det 1,3/4/2020,Active,sociis natoque penatibus et
740,Information,Det 4,4/6/2019,Closed,libero rutrum ac lobortis vel dapibus
741,Physical,AMC,7/17/2018,Active,tincidunt nulla mollis molestie lorem quisque
742,Personnel,AFSPC,12/30/2020,Active,sed tristique in tempus
743,Physical,ACC,11/4/2019,Closed,eget vulputate ut ultrices vel
744,Cyber,Det 4,3/24/2020,Closed,rutrum at lorem integer tincidunt ante
745,Personnel,Det 11,11/27/2020,Closed,in leo maecenas pulvinar lobortis
746,Cyber,Det 8,6/24/2020,Active,in lacus curabitur at ipsum ac
747,Personnel,AFSPC,2/12/2019,Closed,phasellus in felis donec semper
748,Information,AFGSC,3/21/2018,Active,pede morbi porttitor lorem
749,Physical,AMC,7/29/2018,Closed,vulputate nonummy maecenas tincidunt
750,Information,Det 9,1/16/2018,Closed,posuere cubilia curae nulla dapibus dolor
751,Information,Det 11,4/26/2019,Active,sapien quis libero nullam
752,Information,AFGSC,3/21/2019,Active,sapien placerat ante nulla
753,Information,Det 1,10/14/2022,Active,augue luctus tincidunt nulla mollis
754,Information,ACC,6/9/2021,Active,orci luctus et ultrices posuere
755,Personnel,AFSOC,5/31/2020,Active,a libero nam dui proin leo
756,Information,AFMC,10/24/2020,Active,in purus eu magna vulputate
757,Information,Det 9,8/5/2022,Active,feugiat et eros vestibulum
758,Personnel,Det 3,12/11/2019,Active,parturient montes nascetur ridiculus mus
759,Information,Det 9,9/27/2022,Active,eget eros elementum pellentesque
760,Information,PACAF,2/2/2021,Active,praesent lectus vestibulum quam sapien varius
761,Physical,Det 7,7/7/2018,Active,non mattis pulvinar nulla
762,Information,Det 9,6/30/2018,Closed,felis ut at dolor
